NextLoadTime,Weather,OkashiFallDuration,ItemSpeed,MusiFallDuration,MaxRandamizeSpeed,MusiSpeed
0,None,0.5,3,300,1,5
10,Sunny,0.5,3,300,1,5
10,None,0.5,3,2,1,5
10,None,0.5,3,2,1,5
10,None,0.5,3,2,1,5
10,None,0.6,3,2,1,5
10,Rain,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,Storm,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,None,0.5,3,2,5,5
15,None,0.5,3,2,6,5
15,None,0.5,3,2,7,5
15,None,0.5,3,2,8,5
10,Sunny,0.5,3,2,2,5
10,None,0.5,3,2,2,5
10,Rain,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,Thunder,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,None,0.5,3,2,5,5
15,None,0.5,3,2,6,5
15,None,0.5,3,2,7,5
15,None,0.5,3,2,8,5
15,Sunny,0.5,3,2,2,5
15,Snow,0.5,3,2,2,5
15,Snow,0.5,3,2,2,5
15,Snow,0.5,3,2,2,5
15,Snow,0.5,3,2,2,5
15,Sunny,0.5,3,2,2,5
15,None,0.5,3,2,2,5
10,Rain,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,Thunder,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Sunny,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Snow,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Sunny,0.5,3,2,3,5
15,None,0.5,3,2,4,5
10,Rain,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,Storm,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Sunny,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Snow,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Sunny,0.5,3,2,3,5
15,None,0.5,3,2,4,5
10,Rain,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,Storm,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Sunny,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Snow,0.5,3,2,3,5
15,None,0.5,3,2,4,5
15,Sunny,0.5,3,2,3,5
15,None,0.5,3,2,4,5
10,Rain,0.5,3,2,1,5
15,None,0.5,3,2,1,5
15,Storm,0.5,3,2,3,5
15,None,0.5,3,2,4,5
